J5J1L7	0.346
J4VZD4	0.645
J5JE67	0.589
J4W7H7	0.61
J4KLI2	0.628
J5JHS4	0.597
J5JAC0	0.519
J5JIL8	0.624
J4W4X7	0.597
J4KLF8	0.575
J4UKA4	0.587
J5JG47	0.387
J5JFC1	0.49
J5J567	0.56
J4KRH9	0.422
J4KNI2	0.643
J4UKL2	0.622
J4UGH4	0.614
J4UH12	0.603
I1ZIM6	0.474
J5JHE1	0.482
J4KNB2	0.568
J4UQ14	0.564
J4UPK7	0.585
J5JRW6	0.63
J4KQ35	0.432
J5JG23	0.664
J4KPE4	0.593
J4VSU4	0.638
J4USY9	0.662
J4W0N6	0.597
J4WF34	0.612
J4KLI3	0.625
J4WBT2	0.632
J4WKV6	0.37
J4UFB2	0.612
J5JBG2	0.621
J4KP66	0.63
J4KQS0	0.628
J4WBV9	0.526
J5JNY6	0.558
J4KKS0	0.637
J4W4H4	0.542
J4KLB2	0.597
J4UIN9	0.632
J4KQT9	0.509
J4USZ8	0.618
J4WH76	0.601
J5JVK7	0.591
J5JH96	0.456
J4WC75	0.569
J4UJQ2	0.538
J5JNM7	0.595
J4UPQ3	0.497
J5JRW1	0.562
J5J285	0.633
J5K833	0.632
J4UQH2	0.48
J5J4F1	0.415
J5JN15	0.589
J5JIY6	0.235
J4KLA0	0.569
J4UGX5	0.623
J4KP07	1.789
J4UM12	1.534
J4W316	2.174
J4KNY5	1.524
J4UMY9	1.873
J4WGZ5	1.58
J4KKV1	1.686
J5JDU7	1.513
J4KQY7	1.692
J5K911	1.934
J4KPQ8	1.6
J4WEA0	1.585
J5JH47	1.859
J5JET0	1.623
J5JKP4	1.761
J5JX00	1.513
J4VZK5	1.529
J4UNK0	1.531
J4VZT4	2.004
J4USU4	2.618
J4KPW1	1.715
J4WA86	1.715
J5JEC6	1.534
